Epoch: [2][170/677]	Time 0.003 (0.015)	Data 0.000 (0.011)	Loss 5.5449 (5.5453)	Prec@all 36.719 (37.971)
Epoch: [2][180/677]	Time 0.034 (0.015)	Data 0.030 (0.011)	Loss 5.5452 (5.5453)	Prec@all 41.016 (38.033)
Epoch: [2][190/677]	Time 0.006 (0.015)	Data 0.003 (0.011)	Loss 5.5451 (5.5453)	Prec@all 38.281 (38.056)
Epoch: [2][200/677]	Time 0.020 (0.015)	Data 0.016 (0.011)	Loss 5.5460 (5.5453)	Prec@all 35.156 (38.085)
Epoch: [2][210/677]	Time 0.003 (0.015)	Data 0.000 (0.011)	Loss 5.5454 (5.5453)	Prec@all 37.500 (38.155)
Epoch: [2][220/677]	Time 0.004 (0.015)	Data 0.000 (0.011)	Loss 5.5452 (5.5453)	Prec@all 39.062 (38.156)
Epoch: [2][230/677]	Time 0.019 (0.015)	Data 0.015 (0.011)	Loss 5.5446 (5.5452)	Prec@all 40.234 (38.202)
Epoch: [2][240/677]	Time 0.009 (0.015)	Data 0.005 (0.011)	Loss 5.5448 (5.5452)	Prec@all 37.109 (38.139)
Epoch: [2][250/677]	Time 0.027 (0.015)	Data 0.023 (0.011)	Loss 5.5446 (5.5452)	Prec@all 41.016 (38.109)
Epoch: [2][260/677]	Time 0.003 (0.015)	Data 0.000 (0.011)	Loss 5.5455 (5.5452)	Prec@all 37.500 (38.087)
Epoch: [2][270/677]	Time 0.004 (0.015)	Data 0.001 (0.011)	Loss 5.5447 (5.5452)	Prec@all 39.453 (38.124)
Epoch: [2][280/677]	Time 0.005 (0.014)	Data 0.001 (0.011)	Loss 5.5451 (5.5452)	Prec@all 36.719 (38.082)
